Results Table 1
;Width;Thickness
;(mm);(mm)
1;9,940;4,03

Raw Data
Time;Displacement;Force
(s);(mm);(kN)
4,4550;1,4790;1,3855
4,4600;1,4807;1,3868
4,4650;1,4823;1,3882
4,4700;1,4840;1,3895
4,4750;1,4857;1,3909
4,4800;1,4874;1,3922
4,4850;1,4891;1,3935
4,4900;1,4908;1,3949
4,4950;1,4924;1,3963
4,5000;1,4941;1,3976
4,5050;1,4957;1,3990
4,5100;1,4974;1,4003
4,5150;1,4990;1,4016
4,5200;1,5007;1,4030
4,5250;1,5023;1,4043
4,5300;1,5040;1,4056
4,5350;1,5056;1,4069
4,5400;1,5073;1,4083
4,5450;1,5089;1,4096
4,5500;1,5107;1,4109
